the_geom,the_geom_webmercator,objectid,year,dc_key,code,date_,time,race,sex,age,wound,officer_involved,offender_injured,offender_deceased,location,latino,point_x,point_y,dist,inside,outside,fatal,lat,lng
0101000020E610000078FDF63344CA52C0E5DED30758FE4340,0101000020110F0000F10B39B8B8EA5FC139B718910F8E5241,12658575,2022,2.02222E+11,400,2022-11-18 00:00:00+00,4:24:00,B,M,40,Multiple,N,N,N,2200 BLOCK N CHADWICK ST,0,-75.16041278,39.98706148,22,0,1,0,39.98706148,-75.16041278
0101000020E6100000776DEB7E80CE52C02709B233BFFE4340,0101000020110F0000FC8E0280EAF15FC101CE9BEE818E5241,12658576,2016,2.01619E+11,300,2016-07-26 00:00:00+00,5:12:00,B,M,28,Multiple,N,N,N,2200 BLOCK Bryn Mawr Ave,0,-75.22659276,39.99021002,19,0,1,0,39.99021002,-75.22659276
0101000020E6100000F169CA2580CF52C037685485ABFA4340,0101000020110F00002C351BC09CF35FC171F69541FD895241,12658577,2016,2.01618E+11,100,2016-06-26 00:00:00+00,11:46:00,B,M,24,Multiple,N,N,N,200 BLOCK S Edgewood St,0,-75.24219651,39.9583594,18,0,1,1,39.9583594,-75.24219651
0101000020E61000004F1E7994C8CA52C0D5D10E0B77FF4340,0101000020110F000028AD439399EB5FC171139DBB4D8F5241,12658578,2023,2.02339E+11,400,2023-07-18 00:00:00+00,1:29:00,B,F,22,Shoulder,N,N,N,2200 BLOCK W LEHIGH AVE,0,-75.16849243,39.99582041,39,0,1,0,39.99582041,-75.16849243
0101000020E61000004F1E7994C8CA52C0D5D10E0B77FF4340,0101000020110F000028AD439399EB5FC171139DBB4D8F5241,12658579,2023,2.02339E+11,400,2023-07-18 00:00:00+00,1:29:00,B,F,21,Arm,N,N,N,2200 BLOCK W LEHIGH AVE,0,-75.16849243,39.99582041,39,0,1,0,39.99582041,-75.16849243
0101000020E6100000B18331BFE6C952C0AEEF055E14094440,0101000020110F0000875397F919EA5FC1715F64E5F7995241,12658580,2022,2.02214E+11,100,2022-07-04 00:00:00+00,16:23:00,B,M,39,Multiple,N,N,N,2200 BLOCK E WASHINGTON LN,0,-75.15470867,40.07093406,14,0,1,1,40.07093406,-75.15470867
0101000020E61000002F6B62816FCA52C066069E3973FE4340,0101000020110F0000D171EC4502EB5FC1DB1419B62D8E5241,12658581,2022,2.02222E+11,400,2022-06-20 00:00:00+00,0:24:00,B,M,38,Multiple,N,N,N,2200 BLOCK N CLEVELAND ST,0,-75.16305575,39.98789139,22,0,1,0,39.98789139,-75.16305575
0101000020E610000014DE92DAD3CB52C00A77DB434AF64340,0101000020110F0000006116915FED5FC18519083523855241,12658582,2021,2.02101E+11,400,2021-11-03 00:00:00+00,2:39:00,A,M,52,Multiple,N,N,N,2200 BLOCK S 23RD ST,0,-75.18480553,39.92414139,1,0,1,0,39.92414139,-75.18480553
0101000020E610000014DE92DAD3CB52C00A77DB434AF64340,0101000020110F0000006116915FED5FC18519083523855241,12658583,2021,2.02101E+11,400,2021-11-03 00:00:00+00,2:39:00,A,F,47,Multiple,N,N,N,2200 BLOCK S 23RD ST,0,-75.18480553,39.92414139,1,0,1,0,39.92414139,-75.18480553
0101000020E6100000C56CD11BD1CA52C08CFE863F79FF4340,0101000020110F0000E83CE50FA8EB5FC13CA5642D508F5241,12658584,2016,2.01639E+11,1500,2016-05-18 00:00:00+00,21:30:00,B,M,0,Arm,N,N,N,2200 BLOCK W Lehigh Ave,0,-75.16901298,39.9958877,39,0,1,0,39.9958877,-75.16901298
0101000020E6100000ED1C77086BC452C021881CF033014440,0101000020110F0000D7EB37A0C9E05FC17A0EB6FF3A915241,12658585,2016,2.01615E+11,400,2016-10-27 00:00:00+00,9:00:00,W,M,29,Leg,N,N,N,2200 BLOCK Bridge St,1,-75.06903278,40.00939752,15,0,1,0,40.00939752,-75.06903278
0101000020E610000083BE782FCCCB52C00CBA31FB44F64340,0101000020110F000012A18F8A52ED5FC11DA4055B1D855241,12658586,2018,2.01801E+11,400,2018-01-23 00:00:00+00,11:41:00,B,M,18,Multiple,N,N,N,2200 BLOCK S Hemberger St,0,-75.18433749,39.92398014,1,0,1,0,39.92398014,-75.18433749
0101000020E6100000BC600DA362CA52C0031F6A7886FE4340,0101000020110F0000D93B2B6AECEA5FC17699680B438E5241,12658587,2021,2.02122E+11,400,2021-01-11 00:00:00+00,21:43:00,B,M,39,Multiple,N,N,N,2200 BLOCK N 18TH ST,0,-75.16227032,39.98847872,22,0,1,0,39.98847871,-75.16227032
